Frame,ID,Type,X,Y,Team
0,3,player,857,671,2
0,21,referee,885,606,-1
0,22,referee,883,611,-1
0,1,ball,883,608,-1
1,3,player,857,671,2
1,21,referee,886,606,-1
1,22,referee,884,611,-1
1,1,ball,883,608,-1
2,3,player,856,669,2
2,21,referee,883,609,-1
2,1,ball,883,608,-1
3,3,player,853,665,2
3,22,referee,883,609,-1
3,1,ball,883,608,-1
4,3,player,849,663,2
4,22,referee,882,611,-1
4,1,ball,883,608,-1
5,3,player,846,662,2
5,22,referee,883,611,-1
5,25,referee,1577,533,-1
5,1,ball,883,608,-1
6,3,player,844,663,2
6,22,referee,884,612,-1
6,20,referee,891,396,-1
6,1,ball,883,608,-1
7,3,player,839,662,2
7,22,referee,885,612,-1
7,20,referee,892,396,-1
7,1,ball,883,608,-1
8,3,player,833,659,2
8,20,referee,894,397,-1
8,22,referee,886,614,-1
8,1,ball,883,608,-1
9,3,player,829,659,2
9,20,referee,894,397,-1
9,22,referee,888,614,-1
9,1,ball,883,608,-1
10,3,player,827,660,2
10,22,referee,890,615,-1
10,20,referee,895,397,-1
10,1,ball,883,608,-1
11,3,player,827,660,2
11,22,referee,892,614,-1
11,20,referee,897,398,-1
11,1,ball,883,608,-1
12,3,player,826,660,2
12,22,referee,893,615,-1
12,20,referee,898,397,-1
12,1,ball,883,608,-1
13,3,player,825,659,2
13,22,referee,895,616,-1
13,27,referee,1906,944,-1
13,20,referee,898,398,-1
13,1,ball,883,608,-1
14,3,player,823,659,2
14,22,referee,898,617,-1
14,20,referee,898,398,-1
14,1,ball,883,608,-1
15,3,player,818,652,2
15,22,referee,899,618,-1
15,20,referee,898,399,-1
15,1,ball,883,608,-1
16,3,player,816,651,2
16,22,referee,900,620,-1
16,20,referee,898,400,-1
16,1,ball,883,608,-1
17,3,player,815,652,2
17,22,referee,901,621,-1
17,20,referee,897,402,-1
17,1,ball,883,608,-1
18,27,referee,1882,948,-1
18,22,referee,902,622,-1
18,20,referee,896,403,-1
18,1,ball,883,608,-1
19,27,referee,1873,951,-1
19,22,referee,903,626,-1
19,20,referee,896,406,-1
19,1,ball,883,608,-1
20,27,referee,1870,951,-1
20,22,referee,904,627,-1
20,20,referee,897,409,-1
20,1,ball,883,608,-1
21,27,referee,1868,951,-1
21,20,referee,898,408,-1
21,22,referee,907,628,-1
21,1,ball,883,608,-1
22,3,player,816,648,2
22,27,referee,1865,950,-1
22,20,referee,899,408,-1
22,1,ball,883,608,-1
23,3,player,818,646,2
23,27,referee,1860,951,-1
23,20,referee,900,408,-1
23,1,ball,883,608,-1
24,3,player,820,646,2
24,27,referee,1856,950,-1
24,20,referee,902,406,-1
24,1,ball,883,608,-1
25,3,player,823,646,2
25,27,referee,1854,951,-1
25,22,referee,917,629,-1
25,20,referee,903,409,-1
25,1,ball,883,608,-1
26,3,player,823,641,2
26,27,referee,1847,951,-1
